Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2023-01-01,6620.310706028512,True
1,1,2023-01-08,3294.846916374577,False
1,1,2023-01-15,9276.010824502979,False
1,1,2023-01-22,5555.627438868763,False
1,1,2023-01-29,9098.767570236556,False
1,1,2023-02-05,2489.8262345480016,False
1,1,2023-02-12,8397.143617639545,False
1,1,2023-02-19,4462.935648463376,False
1,1,2023-02-26,7258.943149797939,False
1,1,2023-03-05,3992.016349464432,False
1,1,2023-03-12,9028.639026055738,False
1,1,2023-03-19,1550.5970136039195,False
1,1,2023-03-26,6004.380569359827,False
1,1,2023-04-02,1148.4657064293724,False
1,1,2023-04-09,1805.6043932402774,False
1,1,2023-04-16,7112.365264115475,False
1,1,2023-04-23,9618.95733561423,False
1,1,2023-04-30,6324.9959844050345,False
1,1,2023-05-07,1112.493714915191,False
1,1,2023-05-14,7193.954072567119,False
1,1,2023-05-21,2089.194435186842,False
1,1,2023-05-28,5221.000402611819,False
1,1,2023-06-04,8509.308766898454,False
1,1,2023-06-11,2326.878989096183,False
1,1,2023-06-18,7032.11146506096,False
1,1,2023-06-25,3807.6732806594305,False
1,1,2023-07-02,9153.170443553594,False
1,1,2023-07-09,8405.238074389157,False
1,1,2023-07-16,5253.787549375563,False
1,1,2023-07-23,1634.9857750984697,False
1,1,2023-07-30,2588.298009942461,False
1,1,2023-08-06,3274.7906825592527,False
1,1,2023-08-13,1277.4073644951925,False
1,1,2023-08-20,5863.462360425327,False
1,1,2023-08-27,4014.632416440189,False
1,1,2023-09-03,3857.161895157105,False
1,1,2023-09-10,8339.806743349909,False
1,1,2023-09-17,1215.8972280185822,False
1,1,2023-09-24,1411.0423484999724,False
1,1,2023-10-01,7052.997162850007,False
1,1,2023-10-08,5447.287074118161,False
1,1,2023-10-15,8919.914979034289,False
1,1,2023-10-22,4229.10965282643,False
1,1,2023-10-29,2553.374846792175,False
1,1,2023-11-05,6042.877144062648,False
1,1,2023-11-12,4968.634975728146,False
1,1,2023-11-19,3688.2305017087538,False
1,1,2023-11-26,5954.949718249626,False
1,1,2023-12-03,2356.8865714007306,False
1,1,2023-12-10,3517.2539696544445,False
1,1,2023-12-17,7919.191291221808,False
1,1,2023-12-24,2581.6716368684947,False
1,1,2023-12-31,8895.306268056585,False
1,2,2023-01-01,1086.1662736346927,True
1,2,2023-01-08,2574.5363503268677,False
1,2,2023-01-15,1731.9694712134806,False
1,2,2023-01-22,3273.8736477723687,False
1,2,2023-01-29,7274.955848355451,False
1,2,2023-02-05,6601.501251647281,False
1,2,2023-02-12,8621.88892222341,False
1,2,2023-02-19,8417.479045793078,False
1,2,2023-02-26,6251.675532824405,False
1,2,2023-03-05,8972.340473641165,False
1,2,2023-03-12,9639.012762937891,False
1,2,2023-03-19,1027.3595510494397,False
1,2,2023-03-26,6027.637516178345,False
1,2,2023-04-02,4580.5388886357505,False
1,2,2023-04-09,9489.18920786703,False
1,2,2023-04-16,1945.0728061122668,False
1,2,2023-04-23,2095.2974747458875,False
1,2,2023-04-30,3085.461691825354,False
1,2,2023-05-07,5891.402480052373,False
1,2,2023-05-14,1362.9443492324608,False
1,2,2023-05-21,2413.409303618163,False
1,2,2023-05-28,4119.653440589027,False
1,2,2023-06-04,2960.1503480522706,False
1,2,2023-06-11,2377.168852309106,False
1,2,2023-06-18,5558.4108791548515,False
1,2,2023-06-25,4798.24409316977,False
1,2,2023-07-02,3926.853154286066,False
1,2,2023-07-09,7662.894079055676,False
1,2,2023-07-16,2793.279438609712,False
1,2,2023-07-23,1165.1310544403257,False
1,2,2023-07-30,3411.5401918814996,False
1,2,2023-08-06,1088.3691730956714,False
1,2,2023-08-13,1584.307820374515,False
1,2,2023-08-20,3428.39536834416,False
1,2,2023-08-27,3068.550040583377,False
1,2,2023-09-03,9620.033997904242,False
1,2,2023-09-10,9515.722576846518,False
1,2,2023-09-17,4106.859631608684,False
1,2,2023-09-24,8412.65089247036,False
1,2,2023-10-01,5199.040898265247,False
1,2,2023-10-08,5966.494212090863,False
1,2,2023-10-15,8806.191133347074,False
1,2,2023-10-22,7015.836815173725,False
1,2,2023-10-29,9217.465352225408,False
1,2,2023-11-05,4593.116235410811,False
1,2,2023-11-12,8704.690818927233,False
1,2,2023-11-19,4116.318853253909,False
1,2,2023-11-26,6060.485976599546,False
1,2,2023-12-03,8740.277995592201,False
1,2,2023-12-10,6540.62345776842,False
1,2,2023-12-17,5009.080590436935,False
1,2,2023-12-24,9112.692187854913,False
1,2,2023-12-31,6013.094351746229,False
1,3,2023-01-01,9047.103658751501,True
1,3,2023-01-08,3761.0914992096364,False
1,3,2023-01-15,9317.90215199219,False
1,3,2023-01-22,9169.213327667625,False
1,3,2023-01-29,2001.6094632697586,False
1,3,2023-02-05,9678.506271468279,False
1,3,2023-02-12,7602.272367988494,False
1,3,2023-02-19,9185.631825676199,False
1,3,2023-02-26,9286.993968025297,False
1,3,2023-03-05,2381.4680161113592,False
1,3,2023-03-12,8824.865701784143,False
1,3,2023-03-19,2947.436854881321,False
1,3,2023-03-26,9774.191619903035,False
1,3,2023-04-02,7473.421207465484,False
1,3,2023-04-09,5647.522446418546,False
1,3,2023-04-16,1714.9227854292817,False
1,3,2023-04-23,4788.0134589118425,False
1,3,2023-04-30,8012.318194554329,False
1,3,2023-05-07,8483.80396727112,False
1,3,2023-05-14,1993.4141039486353,False
1,3,2023-05-21,8533.868402082908,False
1,3,2023-05-28,8772.993758972938,False
1,3,2023-06-04,3921.4119786664446,False
1,3,2023-06-11,4817.980740438508,False
1,3,2023-06-18,1997.4236086082378,False
1,3,2023-06-25,3074.3205361837977,False
1,3,2023-07-02,7858.751606040911,False
1,3,2023-07-09,7987.956579496506,False
1,3,2023-07-16,2824.572320765095,False
1,3,2023-07-23,1979.1953934848068,False
1,3,2023-07-30,8133.627438832785,False
1,3,2023-08-06,7654.77033003461,False
1,3,2023-08-13,2621.2834578381967,False
1,3,2023-08-20,6146.658107300431,False
1,3,2023-08-27,8553.794014367173,False
1,3,2023-09-03,5908.134369812329,False
1,3,2023-09-10,5191.484090998123,False
1,3,2023-09-17,5082.602686530981,False
1,3,2023-09-24,1554.4235350119932,False
1,3,2023-10-01,6582.590432256132,False
1,3,2023-10-08,5058.154195727839,False
1,3,2023-10-15,1173.115188426904,False
1,3,2023-10-22,1579.1497453209554,False
1,3,2023-10-29,4367.268928003584,False
